GEOID,NAME,variable,estimate,moe,geometry
19153011201,"Census Tract 112.01, Polk County, Iowa",medincome,64674,11694,"list(c(-93.727427, -93.726779, -93.716324, -93.713851, -93.712858, -93.71228, -93.709027, -93.708089, -93.703758, -93.703758, -93.703769, -93.703769, -93.703679, -93.703658, -93.703561, -93.703548, -93.709578, -93.712796, -93.713288, -93.713299, -93.715965, -93.71659, -93.718159, -93.718321, -93.718511, -93.718595, -93.718101, -93.718095, -93.718873, -93.719514, -93.719585, -93.725353, -93.725457, -93.727311, -93.727427, 41.614865, 41.614858, 41.614778, 41.614793, 41.61469, 41.614707, 41.614881, 
41.614882, 41.614886, 41.614774, 41.607646, 41.607193, 41.600437, 41.600437, 41.593157, 41.591837, 41.591832, 41.591841, 41.591842, 41.591493, 41.591472, 41.591569, 41.592406, 41.593272, 41.595965, 41.596417, 41.599604, 41.60038, 41.600382, 41.601275, 41.607693, 41.607661, 41.607661, 41.607662, 41.614865))"
19153011111,"Census Tract 111.11, Polk County, Iowa",medincome,47831,11033,"list(c(-93.732288, -93.725526, -93.725605, -93.727102, -93.727162, -93.72732, -93.718321, -93.718159, -93.71659, -93.715965, -93.713299, -93.713288, -93.712796, -93.709578, -93.706165, -93.704721, -93.704704, -93.703464, -93.703415, -93.703499, -93.703401, -93.703381, -93.713032, -93.721074, -93.72541, -93.727701, -93.732297, -93.732288, 41.58462, 41.584614, 41.588327, 41.588328, 41.591286, 41.59329, 41.593272, 41.592406, 41.591569, 41.591472, 41.591493, 41.591842, 41.591841, 41.591832, 41.589155, 
41.589152, 41.588201, 41.5882, 41.585885, 41.582695, 41.580854, 41.577267, 41.577308, 41.57734, 41.577358, 41.577374, 41.577379, 41.58462))"
19153003002,"Census Tract 30.02, Polk County, Iowa",medincome,107143,28880,"list(c(-93.709578, -93.703548, -93.703561, -93.693698, -93.683508, -93.681691, -93.678779, -93.674384, -93.674354, -93.674292, -93.680523, -93.68168, -93.685559, -93.69101, -93.693757, -93.701579, -93.703345, -93.703499, -93.703415, -93.703464, -93.704704, -93.704721, -93.706165, -93.709578, 41.591832, 41.591837, 41.593157, 41.59269, 41.592154, 41.59189, 41.591415, 41.591407, 41.588061, 41.584529, 41.584837, 41.584757, 41.584519, 41.582704, 41.582845, 41.582696, 41.582695, 41.582695, 41.585885, 41.5882, 
41.588201, 41.589152, 41.589155, 41.591832))"
19153005100,"Census Tract 51, Polk County, Iowa",medincome,49706,7019,"list(c(-93.643759, -93.64104, -93.640609, -93.641901, -93.641054, -93.640761, -93.641169, -93.642536, -93.642523, -93.6401, -93.637113, -93.637736, -93.632121, -93.632133, -93.63542, -93.635806, -93.635956, -93.625655, -93.616706, -93.604671, -93.59894, -93.597968, -93.596948, -93.596899, -93.60547, -93.60729, -93.61648, -93.615033, -93.612017, -93.61313, -93.617728, -93.62162, -93.623611, -93.625617, -93.632511, -93.635325, -93.639145, -93.642951, -93.643744, -93.643759, 41.577468, 41.579919, 41.58115, 
41.582324, 41.583138, 41.584441, 41.58447, 41.585722, 41.587113, 41.587115, 41.587118, 41.591667, 41.591658, 41.59267, 41.59552, 41.595932, 41.596126, 41.595866, 41.595659, 41.595095, 41.596127, 41.593391, 41.590578, 41.586917, 41.587308, 41.587112, 41.585236, 41.581809, 41.580089, 41.579285, 41.578, 41.57418, 41.572605, 41.57179, 41.573692, 41.574012, 41.573143, 41.573492, 41.574378, 41.577468))"
19153003901,"Census Tract 39.01, Polk County, Iowa",medincome,42042,6185,"list(c(-93.596896, -93.593384, -93.590359, -93.589065, -93.577242, -93.577376, -93.574041, -93.574869, -93.577438, -93.577479, -93.579031, -93.590647, -93.596718, -93.596922, -93.596896, 41.575385, 41.574984, 41.575069, 41.574804, 41.570272, 41.568419, 41.566475, 41.564513, 41.56227, 41.555154, 41.555275, 41.555306, 41.555322, 41.569746, 41.575385))"
19153010211,"Census Tract 102.11, Polk County, Iowa",medincome,75000,8289,"list(c(-93.599166, -93.596196, -93.595583, -93.598553, -93.598313, -93.598304, -93.590738, -93.58107, -93.570524, -93.568249, -93.560868, -93.560871, -93.568863, -93.570572, -93.581153, -93.58113, -93.586052, -93.590785, -93.598285, -93.599166, 41.725954, 41.725973, 41.728688, 41.729631, 41.730936, 41.731848, 41.731862, 41.73188, 41.731837, 41.731834, 41.731659, 41.717348, 41.717363, 41.717366, 41.717404, 41.72421, 41.72422, 41.723396, 41.723381, 41.725954))"
19153000902,"Census Tract 9.02, Polk County, Iowa",medincome,66359,11125,"list(c(-93.693087, -93.687494, -93.687539, -93.68152, -93.673053, -93.673016, -93.672955, -93.672946, -93.672896, -93.674384, -93.681322, -93.693058, -93.693085, -93.693087, 41.611258, 41.611254, 41.614875, 41.614881, 41.614915, 41.611309, 41.607389, 41.604002, 41.600339, 41.600337, 41.600363, 41.600408, 41.60764, 41.611258))"
19153004400,"Census Tract 44, Polk County, Iowa",medincome,45643,13007,"list(c(-93.613919, -93.607589, -93.60661, -93.605292, -93.596922, -93.596718, -93.596742, -93.596728, -93.60262, -93.606513, -93.606535, -93.606519, -93.606625, -93.606991, -93.610321, -93.613727, -93.613919, 41.570703, 41.570681, 41.570466, 41.569944, 41.569746, 41.555322, 41.553243, 41.548091, 41.54811, 41.548134, 41.555373, 41.559214, 41.560616, 41.560961, 41.565351, 41.569848, 41.570703))"
19153004800,"Census Tract 48, Polk County, Iowa",medincome,45810,8440,"list(c(-93.613573, -93.611417, -93.610917, -93.608388, -93.600537, -93.600549, -93.59894, -93.604671, -93.616706, -93.613573, 41.600358, 41.603989, 41.607389, 41.607656, 41.607722, 41.600576, 41.596127, 41.595095, 41.595659, 41.600358))"
19153011205,"Census Tract 112.05, Polk County, Iowa",medincome,61224,5041,"list(c(-93.746479, -93.736421, -93.731631, -93.727427, -93.727311, -93.725457, -93.725353, -93.719585, -93.719514, -93.718873, -93.718095, -93.718101, -93.718595, -93.719527, -93.724125, -93.736082, -93.736229, -93.736264, -93.740334, -93.742497, -93.746479, 41.614926, 41.614977, 41.614915, 41.614865, 41.607662, 41.607661, 41.607661, 41.607693, 41.601275, 41.600382, 41.60038, 41.599604, 41.596417, 41.597421, 41.600295, 41.600442, 41.600461, 41.605489, 41.607471, 41.610445, 41.614926))"
19153004701,"Census Tract 47.01, Polk County, Iowa",medincome,47448,6372,"list(c(-93.674217, -93.674124, -93.673723, -93.667404, -93.664621, -93.664708, -93.661027, -93.659403, -93.6578, -93.654204, -93.648929, -93.645053, -93.644889, -93.64303, -93.639459, -93.635316, -93.625696, -93.625653, -93.625628, -93.625636, -93.635167, -93.644926, -93.658892, -93.674276, -93.674217, 41.514023, 41.521734, 41.522989, 41.526409, 41.526351, 41.524235, 41.524322, 41.523771, 41.526308, 41.526751, 41.526546, 41.526054, 41.526102, 41.526555, 41.526553, 41.526529, 41.526475, 41.521188, 
41.517025, 41.512053, 41.512074, 41.512094, 41.512062, 41.512065, 41.514023))"
19153010101,"Census Tract 101.01, Polk County, Iowa",medincome,101398,6378,"list(c(-93.698032, -93.688036, -93.678349, -93.619968, -93.600376, -93.580878, -93.571161, -93.492689, -93.4825, -93.473161, -93.463437, -93.347933, -93.348064, -93.348064, -93.348151, -93.348145, -93.34832, -93.388495, -93.407735, -93.409189, -93.425797, -93.426133, -93.464272, -93.464907, -93.493114, -93.502747, -93.541446, -93.560811, -93.565003, -93.570428, -93.57503, -93.575142, -93.575436, -93.576415, -93.581049, -93.581054, -93.600513, -93.624859, -93.639506, -93.683315, -93.695356, -93.697517, 
-93.697473, -93.697603, -93.697987, -93.697994, -93.698032, 41.86337, 41.863371, 41.863365, 41.863215, 41.863212, 41.863218, 41.863214, 41.863116, 41.863119, 41.863172, 41.863213, 41.863104, 41.83508, 41.834764, 41.805577, 41.776636, 41.746361, 41.746202, 41.731508, 41.731789, 41.731968, 41.746423, 41.746383, 41.746395, 41.746167, 41.746159, 41.746321, 41.746293, 41.746324, 41.746365, 41.74572, 41.744784, 41.745558, 41.745783, 41.746356, 41.7768, 41.776799, 41.776821, 41.77683, 41.776879, 41.776916, 
41.776946, 41.784241, 41.835198, 41.856171, 41.859075, 41.86337))"
19153002900,"Census Tract 29, Polk County, Iowa",medincome,36540,6078,"list(c(-93.674384, -93.668256, -93.664177, -93.656834, -93.654459, -93.654457, -93.65448, -93.654506, -93.659679, -93.66417, -93.674292, -93.674354, -93.674384, 41.591407, 41.59319, 41.593289, 41.593184, 41.593382, 41.593119, 41.588025, 41.584386, 41.584438, 41.584466, 41.584529, 41.588061, 41.591407))"
19153011001,"Census Tract 110.01, Polk County, Iowa",medincome,50449,8817,"list(c(-93.732387, -93.732297, -93.727701, -93.72541, -93.721074, -93.713032, -93.703381, -93.70327, -93.714687, -93.729657, -93.731769, -93.733045, -93.732387, 41.572319, 41.577379, 41.577374, 41.577358, 41.57734, 41.577308, 41.577267, 41.56917, 41.569497, 41.57016, 41.570876, 41.571422, 41.572319))"
19153000201,"Census Tract 2.01, Polk County, Iowa",medincome,63100,10282,"list(c(-93.57531, -93.575154, -93.575846, -93.575269, -93.57093, -93.569412, -93.562602, -93.561153, -93.561222, -93.561265, -93.576164, -93.57531, 41.627767, 41.62965, 41.636847, 41.636955, 41.636779, 41.636798, 41.636756, 41.636748, 41.627673, 41.622238, 41.622284, 41.627767))"
